,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH,tx_hash
0,2022-04-04 16:38:13.302851,0,28.394627,Init,18.394627,0.0,10.0,0,0,0,
0,2022-04-04 16:39:14.883211,0.0311674,1000000,Submit,18.394627,10.0,10.0,0,0,0,345217DFE5B3F91BE62A09EEC0CD066D6B79C57AD9CB45AAF8E8CDCE78FC91DD
0,2022-04-04 16:40:39.365682,0,28.36374,Init,8.36374,10.0,10.0,0,0,0,
0,2022-04-04 16:41:54.382992,0.12080618000000001,0,Claim,8.36374,10.0,10.0,89103,0,0,29EEFE9E2C00B1301877A856962E4459993C155A824EAF2C077E291851DA451B
0,2022-04-04 16:43:11.431836,0,28.235068,Init,8.235068,10.0,10.0,89103,0,0,
0,2022-04-04 16:49:44.598979,0,28.235068,Init,8.235068,10.0,10.0,89103,0,0,
0,2022-04-04 16:51:35.556174,0.035603699999999995,0,Activate,8.235068,10.0,10.0,89103,0,0,104FDC87BCB3650B66C53EAE7AE9AC0EAA461CE743AE3D1020A1B8FD828C04BB
0,2022-04-04 16:52:26.380443,0,28.199334,Init,8.199334,10.0,10.0,89103,0,0,
0,2022-04-04 16:55:00.148262,0.1362691,89103,Swap [bLuna],8.199334,10.0,10.0,0,0,0,513172CDF6AA97CAD6F230E2F85FA765EE2C335A7C0FFF1DFA605601A2CD0569
0,2022-04-04 16:55:50.056625,0,28.090178,Init,8.090178,10.0,10.0,0,88639,0,
0,2022-04-04 16:57:27.928426,0.058370620000000005,88639,Swap [uLuna],8.090178,10.0,10.0,0,88639,0,53E649C7D8C916DD17B9B8BED0D1FF43F2B9134C805D98B97424D39D335088B6
0,2022-04-04 16:58:06.008216,0,37.817852,Init,17.817852,10.0,10.0,0,0,0,
