,Time,Gas,Coins,Action
0,2022-03-22 10:29:26.942618,0,142378,Init
0,2022-03-22 11:06:21.525023,0,142378,Init
0,2022-03-22 11:08:16.083815,0,142378,Init
0,2022-03-22 11:09:30.115081,0,142378,Init
0,2022-03-22 11:09:41.953715,0.0045254,0,Claim
0,2022-03-22 11:11:38.405330,0,2142378,Init
0,2022-03-22 11:11:56.770379,0.11916674000000001,0,Claim
0,2022-03-22 11:12:13.816653,0.13628604,1054,Swap
0,2022-03-22 11:12:40.741884,0.058616800000000004,1054,Swap
0,2022-03-22 11:13:38.391725,0.13625216,1056,Swap
0,2022-03-22 11:16:41.495648,0,2037402,Init
0,2022-03-22 11:18:15.028634,0,2037402,Init
0,2022-03-22 11:19:02.083209,0.058311,0,Swap
0,2022-03-22 11:19:32.834849,0,2183809,Init
0,2022-03-22 11:28:51.316716,0,2183809,Init
0,2022-03-22 11:29:07.642142,0.030987,10000,Submit
0,2022-03-22 11:30:58.558064,0,2053118,Init
0,2022-03-22 11:40:05.630699,0.03309724,0,Activate
0,2022-03-22 11:42:45.451147,0,2020125,Init
0,2022-03-22 11:48:39.020917,0,2020125,Init
0,2022-03-22 11:57:40.620721,0,2020125,Init
0,2022-03-22 13:19:52.723081,0.03095312,10000,Submit
0,2022-03-22 13:20:19.136331,0.11907411999999999,0,Claim
