,Time,Gas,Coins,Action,wallet_ust,wallet_ust_bidbook_bLuna,wallet_ust_bidbook_bETH,wallet_exp_bLuna,wallet_exp_uLuna,wallet_exp_bETH
0,2022-03-24 00:08:52.356696,0.12386638,0,Claim,1.094172,0.01388,0.018538,143,0,0
0,2022-03-24 21:26:01.830075,0,0.905808,Init,0.887307,0.0,0.018501,143,0,0
0,2022-03-24 21:26:43.420473,0.12028852000000001,0,Claim,0.887307,0.0,0.018501,292,0,0
0,2022-03-24 21:27:40.214884,0.1362152,143,Swap,0.887307,0.0,0.018501,149,0,0
0,2022-03-24 21:29:06.212102,0.1361888,149,Swap,0.887307,0.0,0.018501,0,0,0
0,2022-03-24 21:30:48.025188,0.0309474,10000,Submit,0.887307,0.1,0.018501,0,0,0
0,2022-03-24 21:32:20.107052,0,0.5287769999999999,Init,0.410276,0.1,0.018501,0,289,0
0,2022-03-24 21:34:50.937658,0,0.5287769999999999,Init,0.410276,0.1,0.018501,0,289,0
0,2022-03-24 21:41:14.443380,0.05825226,289,Swap,0.410276,0.1,0.018486,0,289,0
0,2022-03-24 21:42:34.472483,0.03299142,0,Activate,0.410276,0.1,0.018486,0,289,0
0,2022-03-24 21:44:48.533935,0,0.477313,Init,0.358827,0.1,0.018486,0,0,0,
0,2022-03-24 21:47:11.001550,0,0.477313,Init,0.358827,0.1,0.018486,0,0,0,
