,Time,Gas,Coins,Action
0,2022-03-20 12:05:37.412759,0,0,Init
0,2022-03-20 12:05:53.769405,0.03538766,100000uusd,Retract
0,2022-03-20 12:06:33.207767,0,0,Init
0,2022-03-20 12:07:06.483853,0.03104684,100000uusd,Submit
0,2022-03-20 12:17:15.882694,0.01157948,0,Activate
0,2022-03-20 12:18:17.970157,0.0349646,0,Activate
0,2022-03-20 12:21:37.713045,0,1544102,Init
0,2022-03-20 12:26:13.371872,0,1544102,Init
0,2022-03-20 12:28:49.734322,0,1544102,Init
0,2022-03-20 12:30:15.778014,0,1544102,Init
0,2022-03-20 13:12:06.307888,0,1439859,Init
0,2022-03-20 13:13:53.193450,0,1439859,Init
0,2022-03-20 13:14:57.474301,0,1439859,Init
0,2022-03-20 13:17:40.035326,0,1439859,Init
0,2022-03-20 13:30:26.053374,0,1439859,Init
0,2022-03-20 13:33:11.663163,0,1439859,Init
0,2022-03-20 13:35:45.981638,0,1389838,Init
0,2022-03-20 13:36:51.350294,0,1389838,Init
0,2022-03-20 13:37:35.018548,0.035556620000000004,7854,Retract
0,2022-03-20 13:38:40.641947,0,1354164,Init
0,2022-03-20 13:38:59.142896,0.03103716,10000,Submit
0,2022-03-20 13:49:30.889924,0.03532562,0,Activate
